bank_id,bank_name,bank_type,country
1,Katz,Credit Union,Nigeria
2,Jaxworks,Online Bank,Portugal
3,Thoughtblab,Online Bank,Moldova
4,Tekfly,Online Bank,Indonesia
5,Thoughtstorm,Online Bank,Indonesia
6,Tavu,Online Bank,Indonesia
7,Skajo,Online Bank,China
8,Mycat,Digital Bank,Sierra Leone
9,Ainyx,Online Bank,Philippines
10,Linktype,Online Bank,China
11,Twinte,Credit Union,China
12,Youtags,Online Bank,South Africa
13,Demizz,Traditional Bank,Ukraine
14,Browsezoom,Traditional Bank,China
15,Centizu,Credit Union,Madagascar
16,Skyvu,Credit Union,Albania
17,Yabox,Credit Union,Netherlands
18,Skilith,Digital Bank,Sweden
19,Thoughtstorm,Digital Bank,Philippines
20,Bluezoom,Online Bank,Panama
21,Tambee,Traditional Bank,Thailand
22,Vidoo,Online Bank,China
23,Fatz,Online Bank,Indonesia
24,Tekfly,Digital Bank,Costa Rica
25,Oloo,Traditional Bank,Philippines
26,Skiptube,Credit Union,Indonesia
27,Zoombeat,Traditional Bank,Norway
28,Twiyo,Digital Bank,Indonesia
29,Trilith,Digital Bank,China
30,Yambee,Online Bank,United States
31,Yadel,Credit Union,Czech Republic
32,Kare,Traditional Bank,Russia
33,Topicshots,Digital Bank,Serbia
34,Mita,Digital Bank,China
35,Eayo,Traditional Bank,China
36,Tagtune,Credit Union,China
37,Devify,Traditional Bank,Indonesia
38,Vidoo,Credit Union,Serbia
39,Mynte,Credit Union,Vietnam
40,Tagchat,Traditional Bank,Thailand
41,Meevee,Online Bank,Nicaragua
42,Innojam,Traditional Bank,Nepal
43,Photojam,Traditional Bank,Indonesia
44,Topicshots,Digital Bank,China
45,Feednation,Online Bank,France
46,Yabox,Digital Bank,Japan
47,Skinder,Credit Union,Indonesia
48,Omba,Traditional Bank,China
49,Fatz,Traditional Bank,Chile
50,Camido,Online Bank,French Polynesia
51,Demimbu,Credit Union,China
52,Rhycero,Credit Union,Finland
53,Trilia,Online Bank,Japan
54,Topicstorm,Digital Bank,China
55,Photobug,Credit Union,Bahamas
56,Oozz,Online Bank,Thailand
57,Omba,Online Bank,Mexico
58,Wikizz,Credit Union,Poland
59,Aimbu,Online Bank,Thailand
60,Yacero,Digital Bank,Comoros
61,Quaxo,Traditional Bank,Brazil
62,Trilith,Traditional Bank,Philippines
63,Quamba,Credit Union,Indonesia
64,Zoomcast,Traditional Bank,Russia
65,Jabbersphere,Credit Union,Syria
