location_id,city_name,country,region
1,Parumasan,Indonesia,East
2,Rostov-na-Donu,Russia,South
3,Hammam Damt,Yemen,Central
4,Pingdingshan,China,West
5,Kumane,Serbia,West
6,Maastricht,Netherlands,West
7,Mahaddayweyne,Somalia,South
8,Lofos,Greece,South
9,Milwaukee,United States,South
10,Tucheng,China,South
11,Zabcice,Czech Republic,South
12,Levin,New Zealand,West
13,Viraco,Peru,Central
14,Ouro Branco,Brazil,South
15,Wuli,China,South
16,Pajannangger,Indonesia,North
17,Duran,Philippines,East
18,Mersrags,Latvia,South
19,Magnitogorsk,Russia,South
20,Mohammedia,Morocco,North
21,Lagodekhi,Georgia,Central
22,Montargis,France,North
23,Nova Petropolis,Brazil,Central
24,Ban Huai Thalaeng,Thailand,North
25,La Tinguina,Peru,South
26,Sarilhos Grandes,Portugal,Central
27,Stockholm,Sweden,Central
28,Hrusovany u Brna,Czech Republic,South
29,Sayansk,Russia,North
30,Manuel Antonio Mesones Muro,Peru,North
31,Swiebodzice,Poland,North
32,Liubo,China,South
33,Santa Venera,Malta,East
34,Jiwani,Pakistan,South
35,Xiaozhen,China,East
36,Paris 12,France,South
37,Jeremoabo,Brazil,West
38,Beolgyo,South Korea,North
39,Kongsvinger,Norway,West
40,Shishan,China,Central
41,San Marcos,Guatemala,East
42,Tanbuqiao,China,East
43,Xiaoshun,China,South
44,Mertani,Indonesia,South
45,Quinta da Queimada,Portugal,Central
46,Melaka,Malaysia,East
47,Zhuxi,China,North
48,Sanligang,China,West
49,Selizharovo,Russia,North
50,Belem,Brazil,West
51,Hyesan-dong,North Korea,North
52,Kuching,Malaysia,Central
53,Dokuchayevsk,Ukraine,West
54,Hirara,Japan,South
55,Santa Cruz,Mexico,West
56,Camocim,Brazil,Central
57,Tangqian,China,Central
58,Montepuez,Mozambique,West
59,Sampues,Colombia,North
60,Kasakh,Armenia,South
61,Ujmisht,Albania,Central
62,Rochester,United States,South
63,Santa Barbara d'Oeste,Brazil,North
64,Zhonghechang,China,Central
65,Bularit,Philippines,West
66,Citalahab,Indonesia,West
67,Korycany,Czech Republic,North
68,Atuntaqui,Ecuador,South
69,Anshun,China,South
70,Novovladykino,Russia,North
71,Tayirove,Ukraine,West
72,Vitkov,Czech Republic,South
73,Blawi,Indonesia,West
74,Norrtalje,Sweden,South
75,Farroupilha,Brazil,Central
76,Kawerau,New Zealand,West
77,Cam Pha,Vietnam,East
78,Kpalime,Togo,West
79,Maikun,China,West
80,Altavista,Mexico,East
81,Doibang,Indonesia,North
82,Anjihai,China,Central
83,Baalbek,Lebanon,East
84,Jinshanwei,China,North
85,Tuojiang,China,Central
86,Matango,Indonesia,North
87,Tan Chau,Vietnam,North
88,Koudougou,Burkina Faso,North
89,Tanggulangin,Indonesia,South
90,Huertas,Peru,Central
91,Castro Daire,Portugal,East
92,Xiangshan,China,Central
93,Santa Cruz,Philippines,Central
94,Hotonj,Bosnia and Herzegovina,North
95,Marcabal,Peru,South
96,Purwasari,Indonesia,North
97,Zhonghekou,China,East
98,Szczecin,Poland,West
99,Monte Novo,Portugal,North
100,Pointe-Noire,Republic of the Congo,East
101,Kauswagan,Philippines,East
102,Strangnas,Sweden,West
103,Manggekompo,Indonesia,East
104,Wenchi,Ghana,West
105,San Julian,Bolivia,South
106,Micoud,Saint Lucia,West
107,Qintang,China,South
108,Taiyigong,China,South
109,Maji,China,North
110,Smiths Falls,Canada,Central
111,Ngaoundere,Cameroon,North
112,Wojsawice,Poland,North
113,Tulkarm,Palestinian Territory,South
114,Sumilao,Philippines,South
115,Jampang Kulon,Indonesia,North
116,Baltimore,United States,North
