merchant_id,merchant_name,merchant_category,online_offline,merchant_country
1,Meetz,Insurance,Offline,Nigeria
2,Meeveo,Restaurants,Online,Philippines
3,Pixonyx,Fuel,Online,Albania
4,Chatterpoint,Healthcare,Offline,Cameroon
5,Mudo,Utilities,Offline,Japan
6,Gabtype,Rent,Offline,Panama
7,Zooxo,Utilities,Online,Czech Republic
8,Rhynyx,Travel,Offline,France
9,Skynoodle,Streaming,Offline,Brazil
10,Jabbertype,Fitness,Online,Sweden
11,Avavee,Transport,Online,China
12,Kazu,Education,Offline,Netherlands
13,Edgewire,Rent,Offline,United States
14,Eadel,Transport,Offline,Poland
15,Digitube,Fitness,Online,Czech Republic
16,Ooba,Rent,Offline,China
17,Kamba,Streaming,Offline,Philippines
18,Twiyo,Clothing,Offline,Finland
19,Brainbox,Fuel,Online,Serbia
20,Blogpad,Fitness,Offline,United States
21,Ntags,Healthcare,Offline,China
22,Thoughtsphere,Insurance,Offline,Serbia
23,Youfeed,Education,Online,Portugal
24,Linkbridge,Healthcare,Online,Philippines
25,Gigazoom,Education,Online,China
26,Zoonoodle,Travel,Offline,Panama
27,Oodoo,Rent,Online,Colombia
28,Yata,Fitness,Offline,Uganda
29,Teklist,Insurance,Online,Poland
30,Skyble,Streaming,Online,Indonesia
31,Yata,Streaming,Offline,Indonesia
32,Voonder,Education,Online,Peru
33,Npath,Fuel,Offline,China
34,Fanoodle,Rent,Online,United States
35,LiveZ,Streaming,Offline,Portugal
36,Dazzlesphere,Education,Online,Ukraine
37,Yadel,Fuel,Online,China
38,Realcube,Travel,Offline,Philippines
39,Oyonder,Fitness,Offline,China
40,Quire,Education,Offline,Morocco
41,Meembee,Groceries,Offline,Thailand
42,Katz,Healthcare,Online,Mauritius
43,Blogspan,Restaurants,Online,Poland
44,Zoonoodle,Insurance,Online,Russia
45,Devshare,Streaming,Online,China
46,Quatz,Restaurants,Online,China
47,Skaboo,Healthcare,Online,Peru
48,Jamia,Education,Offline,Serbia
49,Minyx,Fuel,Offline,El Salvador
50,Innotype,Groceries,Offline,Japan
51,Kanoodle,Insurance,Offline,Brazil
52,Thoughtstorm,Healthcare,Offline,China
53,Devbug,Fuel,Online,Indonesia
54,Twitternation,Transport,Online,China
55,Youbridge,Transport,Offline,Indonesia
56,Topicblab,Travel,Online,China
57,Zazio,Education,Offline,Japan
58,Katz,Clothing,Online,Ukraine
59,Voomm,Restaurants,Offline,Nigeria
60,Mudo,Streaming,Online,China
61,Trilia,Fuel,Offline,Indonesia
62,Jaxbean,Rent,Online,Peru
63,Demimbu,Utilities,Offline,Uzbekistan
64,Centizu,Clothing,Offline,Indonesia
65,Browsedrive,Insurance,Offline,Philippines
66,Mita,Insurance,Online,China
67,Twinte,Fitness,Online,China
68,Photobug,Fuel,Offline,Mexico
69,Pixoboo,Clothing,Online,Kenya
70,Demizz,Rent,Online,Dominican Republic
71,Midel,Education,Offline,Thailand
72,Zoozzy,Education,Offline,Argentina
73,Npath,Healthcare,Offline,Indonesia
74,Fanoodle,Clothing,Online,Jordan
75,Bluezoom,Rent,Online,Indonesia
76,Twitterbeat,Fuel,Offline,Czech Republic
77,Avavee,Rent,Online,Japan
78,Skyndu,Travel,Offline,Sweden
79,Youspan,Groceries,Offline,Vietnam
80,Thoughtmix,Travel,Online,France
81,Zoovu,Transport,Online,Indonesia
82,Wikizz,Restaurants,Online,China
83,Zooxo,Travel,Online,Honduras
84,Zoombox,Fuel,Offline,Australia
85,Youtags,Rent,Offline,Sri Lanka
86,Jetpulse,Transport,Online,China
87,Yacero,Healthcare,Online,China
88,Innotype,Rent,Offline,Indonesia
89,Centimia,Transport,Online,Croatia
90,Voonyx,Insurance,Online,Greece
91,Mita,Groceries,Offline,Brazil
92,Voolia,Education,Online,China
93,Agimba,Healthcare,Online,Indonesia
94,Voomm,Restaurants,Offline,France
95,Gabtune,Fuel,Offline,Iran
96,Linkbridge,Fitness,Offline,China
97,Zoomdog,Groceries,Online,Portugal
98,Brainverse,Education,Online,China
99,Devbug,Travel,Offline,Norway
