transaction_id,account_id,merchant_id,transaction_date,amount,payment_method,is_recurring
1,272,172,2024-11-02,309.97,Bank Transfer,1
2,172,25,2025-03-17,295.18,Direct Debit,0
3,146,195,2025-02-16,167.38,Credit Card,0
4,14,245,2025-03-28,36.79,Debit Card,0
5,105,149,2024-11-14,83.52,Credit Card,1
6,35,16,2025-09-09,201.48,Mobile Payment,0
7,250,129,2024-11-08,142.82,Direct Debit,1
8,120,180,2025-03-24,241.26,Debit Card,0
9,229,12,2025-06-23,190.72,Bank Transfer,1
10,113,47,2025-01-04,127.92,Bank Transfer,1
11,207,8,2024-11-06,24.19,Credit Card,1
12,111,34,2024-10-17,160.13,Bank Transfer,0
13,41,185,2024-09-22,132.66,Credit Card,1
14,271,159,2025-06-22,22.95,Credit Card,0
15,286,243,2025-01-10,52.95,Direct Debit,1
16,223,98,2024-06-28,283.91,Mobile Payment,0
17,273,209,2024-02-15,23.21,Bank Transfer,1
18,29,163,2025-12-03,203.67,Credit Card,1
19,89,112,2024-02-22,104.67,Credit Card,1
20,252,133,2025-05-27,118.27,Credit Card,0
21,7,135,2025-12-14,29.92,Credit Card,1
22,266,164,2025-05-04,15.44,Debit Card,0
23,127,234,2024-06-16,185.02,Debit Card,0
24,273,86,2025-07-30,203.76,Bank Transfer,1
25,282,197,2025-04-25,178.47,Bank Transfer,1
26,256,102,2025-11-25,206.19,Credit Card,0
27,179,57,2024-09-29,26.37,Mobile Payment,0
28,281,203,2025-08-28,255.92,Credit Card,0
29,256,75,2025-08-17,204.68,Bank Transfer,1
30,175,219,2025-07-08,287.32,Bank Transfer,1
31,148,2,2025-08-21,242.02,Mobile Payment,1
32,236,206,2024-08-28,189.79,Credit Card,0
33,146,153,2025-08-09,123.61,Debit Card,1
34,85,15,2024-02-15,329.96,Direct Debit,1
35,119,8,2025-06-25,269.04,Credit Card,0
36,239,243,2025-10-18,165.71,Direct Debit,0
37,131,75,2024-07-06,39.11,Mobile Payment,1
38,122,153,2024-08-21,104.21,Mobile Payment,1
39,154,204,2025-07-29,60.08,Bank Transfer,1
40,296,102,2025-03-31,6.57,Mobile Payment,0
41,173,219,2024-04-04,307.39,Debit Card,0
42,74,41,2024-09-26,321.56,Direct Debit,1
43,285,147,2024-07-22,81.19,Credit Card,0
44,208,242,2025-09-27,36.62,Mobile Payment,1
45,112,60,2024-11-20,125.27,Credit Card,1
